Tanggal,Rekening_Asal,Rekening_Tujuan,Jumlah,Jenis_Belanja,Deskripsi,Is_Anomaly
2023-05-30,ACC_KEMENAG_025_416,ACC_SOS_027_453,31462097770.62,Belanja Barang,Penyewaan jasa kebersihan,0
2023-02-11,ACC_KEMENHUB_022_053,ACC_KEMENHAN_012_480,68817522407.82,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-05-03,ACC_PPATK_078_879,ACC_KEMENKOPUKM_044_387,2305895938.81,Belanja Bantuan Sosial,Bantuan sosial kebencanaan,0
2023-12-14,ACC_KOMINFO_059_029,ACC_BPS_054_975,24431712610.58,Belanja Barang,Pengadaan barang operasional,0
2023-12-15,ACC_PPATK_078_147,ACC_KEMENESDM_020_067,36521543234.0,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-05-02,ACC_KEMENDAG_090_340,ACC_PUPR_033_175,15026788700.45,Belanja Modal,Pengadaan aset TIK,0
2023-01-09,ACC_POLRI_060_828,ACC_KEMENHAN_012_334,76196266490.32,Belanja Modal,Pembayaran termin proyek resmi,0
2023-11-23,ACC_KEMENKOPUKM_044_015,ACC_SOS_027_839,40643391392.0,Belanja Lain-lain,Belanja tak terduga,0
2023-01-01,ACC_KOMINFO_059_266,ACC_PPATK_078_491,10825519141.84,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-07-19,ACC_BPJS_NA_952,ACC_KEMENHAN_012_369,6965896791.79,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-06-03,ACC_PERT_018_494,ACC_KEMENPERIN_019_368,9224790028.67,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-10-06,ACC_KOMINFO_059_171,ACC_PUPR_033_134,16778850836.03,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-05-26,ACC_KEMENHUB_022_315,ACC_POLRI_060_444,35205596020.87,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-04-02,ACC_KEMENDAGRI_010_179,ACC_BPJS_NA_056,2754803177.01,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-08-08,ACC_KEMENDAG_090_481,ACC_KEMENAG_025_068,2372670275.87,Belanja Modal,Pembangunan/rehabilitasi gedung,0
2023-11-19,ACC_KEMENDIKBUD_023_922,ACC_BRIN_124_904,8025880980.78,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-05-28,ACC_ESDM_020_118,ACC_BPS_054_850,7219288990.47,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-03-07,ACC_POLRI_060_970,ACC_KEMENESDM_020_813,20971261398.49,Belanja Subsidi,Subsidi energi,0
2023-07-22,ACC_BPJS_NA_147,ACC_ESDM_020_035,9571030812.03,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-01-26,ACC_ESDM_020_750,ACC_BPJS_NA_014,5802021717.42,Belanja Barang,Penyewaan jasa kebersihan,0
2023-02-20,ACC_BPK_004_939,ACC_BRIN_124_887,8804886124.41,Belanja Bantuan Sosial,Bantuan program keluarga harapan,0
2023-10-02,ACC_KEMENPAREKRAF_040_850,ACC_ESDM_020_076,6793785379.55,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-01-28,ACC_KEMENESDM_020_891,ACC_BPS_054_692,101247743434.3,Belanja Subsidi,Subsidi pangan,0
2023-06-26,ACC_KEMENKOPUKM_044_037,ACC_KES_024_410,3249902367.73,Belanja Bantuan Sosial,Transfer bantuan sosial,0
2023-10-21,ACC_KEMENLU_011_845,ACC_KEMENDIKBUD_023_638,8467534175.42,Belanja Bantuan Sosial,Bantuan pangan nontunai,0
2023-11-06,ACC_BPJS_NA_662,ACC_KEMENHAN_012_528,76028491340.8,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-03-26,ACC_KEMENPAREKRAF_040_921,ACC_KEMENDAGRI_010_489,36255320674.1907,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,1
2023-05-31,ACC_PPATK_078_627,ACC_KES_024_064,54327318319.89,Belanja Barang,Belanja pemeliharaan rutin,0
2023-03-18,ACC_KEMENESDM_020_491,ACC_BRIN_124_658,42043550249.54,Belanja Subsidi,Subsidi bunga kredit program,0
2023-08-13,ACC_KES_024_917,ACC_KEMENHUB_022_313,56694300898.69,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-03-29,ACC_KOMINFO_059_883,ACC_BPS_054_303,6906171470.39,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-06-19,ACC_KEMENPAREKRAF_040_135,ACC_POLRI_060_050,6348296418.89,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-09-02,ACC_KEMENDAG_090_109,ACC_KEMENDAGRI_010_825,5213530121.85,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-03-31,ACC_KEMENAG_025_296,ACC_ESDM_020_112,65399467166.84,Belanja Subsidi,Subsidi pupuk,0
2023-09-03,ACC_KEMENPAREKRAF_040_629,ACC_KEMENDAGRI_010_604,3192400833.02,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-01-25,ACC_PUPR_033_058,ACC_SOS_027_498,11623075398.97,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-03-16,ACC_KEU_015_654,ACC_SOS_027_834,16697818556.08,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-12-21,ACC_KEMENKOPUKM_044_225,ACC_KEU_015_664,13472552413.79,Belanja Lain-lain,Belanja operasi non-rutin,0
2023-12-10,ACC_KOMINFO_059_749,ACC_BPJS_NA_035,5715163851.17,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-06-02,ACC_KEMENESDM_020_429,ACC_KEMENDAG_090_945,39621085471.38,Belanja Bantuan Sosial,Bansos tunai,0
2023-08-14,ACC_POLRI_060_221,ACC_KES_024_915,27818502885.35,Belanja Bantuan Sosial,Bantuan pangan nontunai,0
2023-01-25,ACC_POLRI_060_528,ACC_KES_024_182,25612062586.53,Belanja Subsidi,Subsidi bunga kredit program,0
2023-12-02,ACC_BRIN_124_748,ACC_KEMENESDM_020_872,4426863859.47,Belanja Lain-lain,Belanja tak terduga,0
2023-02-03,ACC_PUPR_033_345,ACC_KEMENLU_011_893,17771628142.4,Belanja Barang,Penyewaan jasa kebersihan,0
2023-12-27,ACC_PPATK_078_048,ACC_BPJS_NA_491,10963279782.99,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-01-10,ACC_BPS_054_542,ACC_KEMENESDM_020_756,10616221533.29,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-06-17,ACC_BPJS_NA_521,ACC_SOS_027_621,5838483363.09,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-07-28,ACC_KOMINFO_059_272,ACC_KEMENPAREKRAF_040_143,82173435095.77,Belanja Subsidi,Pembayaran subsidi,0
2023-10-03,ACC_ESDM_020_079,ACC_KEMENAG_025_658,9136901180.3,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-04-03,ACC_KEMENDIKBUD_023_525,ACC_BRIN_124_772,29261404326.55,Belanja Bantuan Sosial,Bantuan program keluarga harapan,0
2023-01-08,ACC_KEU_015_067,ACC_BPJS_NA_496,5448656020.03,Belanja Lain-lain,Cadangan risiko fiskal,0
2023-09-13,ACC_SOS_027_521,ACC_BPS_054_990,29421552928.95,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-06-13,ACC_KEMENPAREKRAF_040_376,ACC_KES_024_653,10433572729.58,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-03-15,ACC_KEMENLU_011_508,ACC_KES_024_073,13744989972.76,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-10-06,ACC_SOS_027_615,ACC_KEMENDAGRI_010_808,10492517885.94,Belanja Subsidi,Subsidi bunga kredit program,0
2023-12-07,ACC_KEMENDAG_090_151,ACC_ESDM_020_669,4727141610.2,Belanja Subsidi,Subsidi pangan,0
2023-03-30,ACC_ESDM_020_799,ACC_KEMENESDM_020_434,23611483723.3,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-07-02,ACC_KES_024_209,ACC_KEMENDIKBUD_023_493,24312252585.02,Belanja Barang,Belanja internet dan komunikasi,0
2023-04-16,ACC_KEU_015_375,ACC_KEMENPERIN_019_582,25751729364.8,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-04-09,ACC_KEMENKOPUKM_044_594,ACC_KEMENHAN_012_587,45262686780.28,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-11-11,ACC_KEMENESDM_020_956,ACC_PPATK_078_467,9901715561.91,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-11-14,ACC_BPS_054_144,ACC_KEMENPERIN_019_384,30312343632.07,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-02-04,ACC_KOMINFO_059_183,ACC_KES_024_270,27542672955.96,Belanja Lain-lain,Belanja lainnya sesuai ketentuan,0
2023-12-24,ACC_ESDM_020_612,ACC_SOS_027_519,40280126304.62713,Belanja Pegawai,Pembayaran gaji ke-13,1
2023-08-20,ACC_PPATK_078_691,ACC_KEMENLU_011_584,10691238352.66,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-03-21,ACC_BPS_054_500,ACC_KEMENDAGRI_010_595,10411665149.53,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-06-04,ACC_BPK_004_522,ACC_POLRI_060_546,24607054029.8,Belanja Bantuan Sosial,Transfer bantuan sosial,0
2023-01-06,ACC_BPK_004_920,ACC_KEMENHUB_022_914,10750435488.93,Belanja Barang,Belanja internet dan komunikasi,0
2023-12-03,ACC_KEMENPERIN_019_686,ACC_PPATK_078_152,4867871097.23,Belanja Lain-lain,Cadangan risiko fiskal,0
2023-04-25,ACC_BPJS_NA_894,ACC_KEU_015_482,34383476690.46,Belanja Barang,Penyewaan jasa kebersihan,0
2023-02-23,ACC_KOMINFO_059_184,ACC_KEMENDIKBUD_023_871,5915673872.63,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-11-24,ACC_KEMENDIKBUD_023_179,ACC_KOMINFO_059_788,19656832265.77,Belanja Subsidi,Subsidi pangan,0
2023-04-19,ACC_KEMENDAG_090_897,ACC_KEMENESDM_020_669,22614384891.0,Belanja Barang,Pengadaan barang operasional,0
2023-11-08,ACC_BPK_004_708,ACC_KEMENPAREKRAF_040_035,36866626267.92,Belanja Subsidi,Subsidi pangan,0
2023-08-18,ACC_SOS_027_967,ACC_BPK_004_172,11175819382.39,Belanja Bantuan Sosial,Bantuan program keluarga harapan,0
2023-05-03,ACC_KEMENESDM_020_843,ACC_KEMENPERIN_019_298,51485257807.06,Belanja Barang,Pengadaan barang operasional,0
2023-07-06,ACC_KEMENDIKBUD_023_383,ACC_KEU_015_209,27082843399.62,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-02-17,ACC_KEMENDAGRI_010_224,ACC_ESDM_020_003,9937405197.45,Belanja Modal,Pengadaan aset TIK,0
2023-04-05,ACC_KEMENAG_025_785,ACC_BPS_054_892,64916991740.91,Belanja Subsidi,Subsidi bunga kredit program,0
2023-05-31,ACC_KEMENHUB_022_850,ACC_BRIN_124_050,56169035645.19,Belanja Subsidi,Subsidi energi,0
2023-01-27,ACC_KEMENPAREKRAF_040_271,ACC_KES_024_562,10143935367.29,Belanja Barang,Pengadaan barang operasional,0
2023-09-21,ACC_KEMENAG_025_591,ACC_KES_024_387,15346643033.16,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-09-13,ACC_POLRI_060_222,ACC_KOMINFO_059_884,18519607721.17,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-01-01,ACC_PUPR_033_546,ACC_KEMENLU_011_446,22647433513.52,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-03-23,ACC_KEMENESDM_020_502,ACC_BPJS_NA_967,5906191791.46,Belanja Barang,Belanja internet dan komunikasi,0
2023-07-11,ACC_BPS_054_765,ACC_BPJS_NA_921,14341174824.51,Belanja Bantuan Sosial,Pengadaan barang operasional,1
2023-02-25,ACC_KES_024_094,ACC_KEMENESDM_020_093,11085412631.9,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-09-02,ACC_KEMENHUB_022_022,ACC_KEMENPERIN_019_291,12519759637.31,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-09-30,ACC_POLRI_060_848,ACC_KES_024_442,18576497941.81,Belanja Bantuan Sosial,Bantuan pangan nontunai,0
2023-05-12,ACC_KES_024_597,ACC_KEMENDIKBUD_023_935,16504803195.56,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-01-16,ACC_ESDM_020_819,ACC_KEMENHUB_022_617,25329181367.72,Belanja Barang,Penyewaan jasa kebersihan,0
2023-07-20,ACC_KEMENLU_011_709,ACC_KEMENAG_025_426,16302103858.68,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-06-06,ACC_KEMENDAG_090_422,ACC_BPJS_NA_251,20326130739.02,Belanja Barang,Belanja pemeliharaan rutin,0
2023-01-18,ACC_PPATK_078_327,ACC_BPK_004_961,14650574858.04,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-05-05,ACC_BPK_004_082,ACC_KES_024_283,7041340189.09,Belanja Barang,Belanja pemeliharaan rutin,0
2023-02-01,ACC_SOS_027_161,ACC_KEMENKOPUKM_044_284,31553329941.01,Belanja Barang,Belanja internet dan komunikasi,0
2023-11-14,ACC_KEMENPERIN_019_464,ACC_PUPR_033_802,17723040870.63,Belanja Barang,Penyewaan jasa kebersihan,0
2023-12-28,ACC_BRIN_124_472,ACC_PPATK_078_056,10784301996.2,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-04-23,ACC_SOS_027_229,ACC_KEU_015_171,16629165635.49,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-03-20,ACC_BPJS_NA_658,ACC_KEU_015_919,9995253850.71,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-07-15,ACC_KEMENPAREKRAF_040_835,ACC_KEMENHAN_012_071,18226051748.12,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-04-16,ACC_PERT_018_775,ACC_KEMENHAN_012_296,13157525852.53,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-11-01,ACC_PPATK_078_052,ACC_POLRI_060_882,18399893085.9,Belanja Barang,Pengadaan barang operasional,0
2023-11-30,ACC_KEU_015_521,ACC_KEMENDAGRI_010_763,11294814669.09,Belanja Pegawai,Pembayaran THR,0
2023-11-15,ACC_POLRI_060_697,ACC_KEMENDIKBUD_023_951,5693475944.5,Belanja Barang,Pengadaan barang operasional,0
2023-03-03,ACC_POLRI_060_286,ACC_BPJS_NA_989,16257502913.8,Belanja Barang,Belanja internet dan komunikasi,0
2023-02-11,ACC_KEMENESDM_020_610,ACC_KEMENESDM_020_610,12987662742.53,Belanja Bantuan Sosial,Bantuan program keluarga harapan,1
2023-04-22,ACC_KEMENKOPUKM_044_402,ACC_KEMENDIKBUD_023_759,20449151432.97,Belanja Lain-lain,Cadangan risiko fiskal,0
2023-07-26,ACC_PUPR_033_110,ACC_KEMENPAREKRAF_040_440,23682091610.6,Belanja Lain-lain,Belanja tak terduga,0
2023-02-25,ACC_KEMENHAN_012_887,ACC_PERT_018_915,4745761113.4,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-01-16,ACC_SOS_027_492,ACC_KEMENAG_025_891,48115958195.67,Belanja Barang,Pengadaan barang operasional,0
2023-06-17,ACC_BPK_004_538,ACC_PPATK_078_848,11493209934.31,Belanja Bantuan Sosial,Bantuan sosial kebencanaan,0
2023-09-30,ACC_KEU_015_889,ACC_PUPR_033_699,9798898912.93,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-06-30,ACC_BPK_004_327,ACC_PUPR_033_108,36011591101.87,Belanja Bantuan Sosial,Bantuan program keluarga harapan,0
2023-03-19,ACC_KEMENHAN_012_016,ACC_KEMENLU_011_327,5500034557.34,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-01-02,ACC_PERT_018_010,ACC_PUPR_033_434,5792386540.96,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-10-15,ACC_BPK_004_873,ACC_KEMENDAGRI_010_340,39998398859.61,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-08-27,ACC_BPS_054_501,ACC_PPATK_078_058,17960144064.2,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-10-06,ACC_POLRI_060_535,ACC_KES_024_410,4563250136.53,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-12-01,ACC_KEMENHAN_012_044,ACC_SOS_027_027,4143577919.14,Belanja Barang,Belanja internet dan komunikasi,0
2023-11-13,ACC_BRIN_124_130,ACC_PUPR_033_567,21474091644.53,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-12-02,ACC_BPK_004_599,ACC_KEMENDIKBUD_023_806,19221001404.84,Belanja Subsidi,Pembayaran subsidi,0
2023-03-20,ACC_KEMENLU_011_579,ACC_KES_024_855,11480408830.73,Belanja Modal,Pengadaan aset TIK,0
2023-04-07,ACC_KEMENDAG_090_169,ACC_KEMENDAGRI_010_681,40323591849.12,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-03-23,ACC_KEMENHUB_022_043,ACC_KEMENKOPUKM_044_903,13092354310.17,Belanja Lain-lain,Belanja lainnya sesuai ketentuan,0
2023-03-02,ACC_KEMENHAN_012_270,ACC_KOMINFO_059_180,47104535238.45,Belanja Subsidi,Subsidi bunga kredit program,0
2023-08-14,ACC_KEMENAG_025_670,ACC_KEMENDAG_090_740,9003804234.85,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-07-28,ACC_KEMENKOPUKM_044_097,ACC_KEMENHAN_012_074,13442801081.87,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-07-23,ACC_KOMINFO_059_056,ACC_PPATK_078_720,18646354801.91,Belanja Lain-lain,Belanja tak terduga,0
2023-01-15,ACC_ESDM_020_574,ACC_KEU_015_667,68139119992.51,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-05-10,ACC_KEU_015_639,ACC_BPK_004_292,19300980468.62,Belanja Subsidi,Subsidi pupuk,0
2023-01-13,ACC_KEMENHAN_012_271,ACC_KEMENESDM_020_601,6733224824.25,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-04-11,ACC_KEMENDAGRI_010_176,ACC_KEU_015_427,13747816440.35,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-02-10,ACC_PPATK_078_429,ACC_KEMENDAG_090_344,8899139893.73,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-08-17,ACC_KOMINFO_059_825,ACC_KEMENDIKBUD_023_130,7064137041.36,Belanja Pegawai,Belanja operasi non-rutin,1
2023-11-14,ACC_BPS_054_984,ACC_KEMENPAREKRAF_040_649,15887044304.46,Belanja Modal,Pembayaran termin proyek resmi,0
2023-04-04,ACC_ESDM_020_168,ACC_BPJS_NA_954,16412569144.77,Belanja Barang,Penyewaan jasa kebersihan,0
2023-05-29,ACC_KES_024_914,ACC_PUPR_033_695,9171349602.14,Belanja Subsidi,Subsidi energi,0
2023-02-14,ACC_KEMENDIKBUD_023_082,ACC_BPS_054_529,7594612513.0,Belanja Barang,Penyewaan jasa kebersihan,0
2023-06-06,ACC_KEMENKOPUKM_044_735,ACC_PPATK_078_132,30729705215.04,Belanja Barang,Pengadaan barang operasional,0
2023-12-29,ACC_KEMENAG_025_620,ACC_SOS_027_265,16600130135.7,Belanja Lain-lain,Belanja tak terduga,1
2023-06-04,ACC_KEMENESDM_020_783,ACC_KEMENLU_011_988,41819157521.1,Belanja Barang,Pengadaan barang operasional,0
2023-08-05,ACC_KEMENAG_025_154,ACC_PUPR_033_154,17955997277.24,Belanja Barang,Belanja pemeliharaan rutin,0
2023-12-04,ACC_BRIN_124_480,ACC_ESDM_020_693,16438226780.74,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-03-17,ACC_KEMENDAG_090_177,ACC_POLRI_060_696,15655743425.21,Belanja Barang,Penyewaan jasa kebersihan,0
2023-12-29,ACC_KEMENLU_011_049,ACC_BPJS_NA_567,25893741462.76,Belanja Barang,Penyewaan jasa kebersihan,0
2023-12-22,ACC_KEMENDAGRI_010_912,ACC_KEMENKOPUKM_044_408,3475476552.51,Belanja Bantuan Sosial,Bantuan pangan nontunai,0
2023-11-14,ACC_BPK_004_129,ACC_KES_024_561,30448431947.28,Belanja Bantuan Sosial,Bansos tunai,0
2023-07-19,ACC_ESDM_020_157,ACC_KEMENAG_025_487,8859489345.36,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-05-28,ACC_ESDM_020_336,ACC_SOS_027_071,9437957030.56,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-07-18,ACC_KEMENKOPUKM_044_161,ACC_KEMENDAGRI_010_538,6067785371.57,Belanja Subsidi,Subsidi pangan,0
2023-07-31,ACC_SOS_027_575,ACC_KEMENHUB_022_963,11110099822.12,Belanja Pegawai,Honorarium kegiatan resmi,0
2023-12-30,ACC_KOMINFO_059_730,ACC_KEMENKOPUKM_044_556,5799798798.83,Belanja Lain-lain,Cadangan risiko fiskal,1
2023-03-19,ACC_KEMENKOPUKM_044_728,ACC_POLRI_060_894,2900382197.39,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-03-07,ACC_KES_024_746,ACC_PERT_018_457,15904570914.33,Belanja Modal,Pembangunan/rehabilitasi gedung,0
2023-07-24,ACC_BPJS_NA_791,ACC_KEMENPERIN_019_337,11487543808.63,Belanja Barang,Pengadaan barang operasional,0
2023-12-28,ACC_KOMINFO_059_558,ACC_KEMENDAGRI_010_899,5120432282.93,Belanja Bantuan Sosial,Bansos tunai,1
2023-10-23,ACC_KES_024_322,ACC_BPJS_NA_512,22523014929.67,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-08-26,ACC_KEMENHAN_012_134,ACC_KEMENLU_011_973,14760179236.453054,Belanja Lain-lain,Belanja lainnya sesuai ketentuan,1
2023-10-05,ACC_BRIN_124_018,ACC_KEMENDAG_090_524,26262158292.17,Belanja Bantuan Sosial,Bantuan pangan nontunai,0
2023-03-12,ACC_PERT_018_480,ACC_KEU_015_560,3759306872.33,Belanja Bantuan Sosial,Bantuan program keluarga harapan,0
2023-03-25,ACC_KEMENKOPUKM_044_155,ACC_KEMENHUB_022_565,36411212140.74,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-01-11,ACC_SOS_027_143,ACC_KEMENKOPUKM_044_192,13454479579.34,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-03-10,ACC_ESDM_020_535,ACC_SOS_027_693,31883919318.2,Belanja Subsidi,Pembayaran subsidi,0
2023-01-17,ACC_PUPR_033_154,ACC_BPK_004_405,7841735795.43,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-09-24,ACC_KOMINFO_059_422,ACC_KEMENLU_011_840,34647719736.94,Belanja Subsidi,Subsidi bunga kredit program,0
2023-01-14,ACC_BRIN_124_778,ACC_KEMENESDM_020_652,5821647755.77,Belanja Lain-lain,Belanja lainnya sesuai ketentuan,0
2023-04-29,ACC_KEMENAG_025_238,ACC_POLRI_060_546,31025458294.64,Belanja Barang,Pengadaan barang operasional,0
2023-08-11,ACC_KEU_015_883,ACC_KES_024_769,6765243523.84,Belanja Pegawai,Tunjangan kinerja triwulan,0
2023-01-04,ACC_KEMENESDM_020_938,ACC_KEMENKOPUKM_044_397,22894921158.13,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-12-04,ACC_KES_024_197,ACC_KEMENDAGRI_010_019,26392843622.0,Belanja Pembayaran Bunga Utang,Pembayaran bunga SBN,0
2023-03-22,ACC_PUPR_033_330,ACC_KEMENKOPUKM_044_866,13295833107.73,Belanja Lain-lain,Belanja lainnya sesuai ketentuan,0
2023-05-20,ACC_PERT_018_841,ACC_KEMENAG_025_002,8887460439.54,Belanja Pegawai,Pembayaran THR,0
2023-05-19,ACC_PPATK_078_636,ACC_KEMENLU_011_309,4199101911.66,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-10-19,ACC_KEU_015_477,ACC_KEMENLU_011_874,12739776405.58,Belanja Subsidi,Subsidi pangan,0
2023-01-14,ACC_PERT_018_752,ACC_KEMENHAN_012_438,36137926179.68,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-06-16,ACC_PERT_018_020,ACC_POLRI_060_216,15804133377.31,Belanja Subsidi,Subsidi bunga kredit program,0
2023-05-09,ACC_KEMENKOPUKM_044_410,ACC_ESDM_020_422,24855474061.06,Belanja Modal,Pembayaran termin proyek resmi,0
2023-11-26,ACC_KEMENPERIN_019_375,ACC_BPK_004_446,9461685649.28,Belanja Bantuan Sosial,Bantuan pangan nontunai,0
2023-05-25,ACC_KEMENPAREKRAF_040_051,ACC_BPS_054_242,15856056699.71,Belanja Pegawai,Pembayaran gaji ke-13,0
2023-09-05,ACC_KEMENPAREKRAF_040_070,ACC_PUPR_033_853,19797381807.36,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-02-08,ACC_POLRI_060_984,ACC_KEMENLU_011_801,6278745392.56,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-10-10,ACC_BPS_054_586,ACC_KOMINFO_059_110,13278087087.97,Belanja Modal,Pembangunan infrastruktur jalan,0
2023-02-01,ACC_BPK_004_746,ACC_KEMENESDM_020_794,38348994426.5,Belanja Subsidi,Subsidi pupuk,0
2023-08-20,ACC_KEU_015_894,ACC_KEMENLU_011_343,13778765806.85,Belanja Modal,Pembangunan/rehabilitasi gedung,0
2023-03-05,ACC_KEMENPAREKRAF_040_455,ACC_KEMENHUB_022_232,21525599618.92,Belanja Pegawai,Pembayaran THR,0
2023-08-17,ACC_KEMENHAN_012_226,ACC_KEMENAG_025_596,8045201377.68,Belanja Lain-lain,Cadangan risiko fiskal,0
2023-09-03,ACC_KEMENLU_011_402,ACC_POLRI_060_622,15940391428.86,Belanja Modal,Pengadaan peralatan dan mesin,0
2023-11-05,ACC_KEU_015_906,ACC_KEMENDAGRI_010_343,27148151628.51,Belanja Barang,Belanja internet dan komunikasi,0
2023-05-19,ACC_BPK_004_194,ACC_KEU_015_186,27697724994.91,Belanja Subsidi,Subsidi bunga kredit program,0
2023-03-30,ACC_PUPR_033_836,ACC_KEMENPAREKRAF_040_042,4943492924.83,Belanja Pembayaran Bunga Utang,Pembayaran imbal hasil obligasi,0
2023-08-17,ACC_KEMENAG_025_862,ACC_BPK_004_275,19598232798.76,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,0
2023-05-20,ACC_SOS_027_792,ACC_BPK_004_546,8615555969.31,Belanja Barang,Belanja ATK dan operasional kantor,0
2023-01-18,ACC_POLRI_060_057,ACC_KEMENHUB_022_112,7084546360.5,Belanja Pegawai,Gaji pegawai bulan berjalan,0
2023-10-12,ACC_BPK_004_259,ACC_KEMENAG_025_090,5729414888.81,Belanja Pembayaran Bunga Utang,Pembayaran kupon SUN,0
2023-07-05,ACC_KEMENHAN_012_250,ACC_KEMENHAN_012_250,21900019879.02,Belanja Pembayaran Bunga Utang,Pembayaran bunga pinjaman luar negeri,1
2023-09-15,ACC_BPK_004_639,ACC_KEMENAG_025_997,22170450856.54,Belanja Pegawai,Honorarium kegiatan resmi,0
